Order,Material,Material description,Created On,Release date (actual),Confirmed finish date,,Order quantity (GMEIN),Delivered quantity (GMEIN),Change date,Status,Created On (bins),Change date (bins),Closed Date,Closed Date (bins)
2100002486,69913809-0100QS1P,,21-Oct-24,10/21/2024,7-Nov-24,,15,15,1/1/2025,TECO,October 2024,January 2025,1/1/2025 0:00,12/29/2024
2100002487,69924869-0000TS8P,,21-Oct-24,10/21/2024,18-Nov-24,,100,100,1/1/2025,TECO,October 2024,January 2025,1/1/2025 0:00,12/29/2024
2100002482,69923885-0000000P,,20-Oct-24,10/20/2024,26-Nov-24,,90,90,1/1/2025,TECO,October 2024,January 2025,1/1/2025 0:00,12/29/2024
2300000891,67025043-0251TS1P,,18-Oct-24,10/18/2024,26-Nov-24,,10,10,1/1/2025,TECO,October 2024,January 2025,1/1/2025 0:00,12/29/2024
2100002477,6992G525-0220TS7P,,18-Oct-24,10/18/2024,2-Dec-24,,53,53,1/1/2025,TECO,October 2024,January 2025,1/1/2025 0:00,12/29/2024
2100002480,69923958-0000100P,,18-Oct-24,10/18/2024,4-Nov-24,,200,200,1/1/2025,TECO,October 2024,January 2025,1/1/2025 0:00,12/29/2024
2100002472,6992G520-0266RC4P,,16-Oct-24,10/16/2024,12-Dec-24,,35,35,1/1/2025,TECO,October 2024,January 2025,1/1/2025 0:00,12/29/2024
2100002473,6992G520-0266RC3P,,16-Oct-24,10/16/2024,26-Nov-24,,35,35,1/1/2025,TECO,October 2024,January 2025,1/1/2025 0:00,12/29/2024
2100002466,6992G525-0220EB5P,,15-Oct-24,10/17/2024,19-Nov-24,,30,30,1/1/2025,TECO,October 2024,January 2025,1/1/2025 0:00,12/29/2024
2100002469,69922021-0600TS1P,,15-Oct-24,10/15/2024,24-Nov-24,,40,40,1/1/2025,TECO,October 2024,January 2025,1/1/2025 0:00,12/29/2024
2100002456,69925210-0072TS5P,,14-Oct-24,10/14/2024,11-Dec-24,,100,100,1/1/2025,TECO,October 2024,January 2025,1/1/2025 0:00,12/29/2024
2100002457,69925210-0072TS5P,,14-Oct-24,10/14/2024,18-Nov-24,,100,100,1/1/2025,TECO,October 2024,January 2025,1/1/2025 0:00,12/29/2024
