Order,Material,Material description,Created On,Release date (actual),Confirmed finish date,System Status,Order quantity (GMEIN),Delivered quantity (GMEIN),Change date,Status,Created On (bins),Closed Date,Closed Date (bins)
2100000778,9006G189-0010310Z,,14-Jun-22,14-Jun-22,17-Jul-22,,580,580,1-Jan-24,TECO,June 2022,1/1/2024 0:00,12/31/2023
2100000745,9006G189-0010310Z,,24-May-22,24-May-22,26-Jun-22,,800,800,1-Jan-24,TECO,May 2022,1/1/2024 0:00,12/31/2023
2100000730,9006G189-0010310Z,,12-May-22,12-May-22,20-Jun-22,,1200,1200,1-Jan-24,TECO,May 2022,1/1/2024 0:00,12/31/2023
2100000719,9006G189-0010310Z,,2-May-22,2-May-22,15-Aug-22,,1100,1100,1-Jan-24,TECO,May 2022,1/1/2024 0:00,12/31/2023
2300000541,94013904-0000000Z,,26-Apr-22,26-Apr-22,,,1,0,1-Jan-24,TECO,April 2022,1/1/2024 0:00,12/31/2023
2100000710,9006G189-0010310Z,,25-Apr-22,25-Apr-22,22-May-22,,400,400,1-Jan-24,TECO,April 2022,1/1/2024 0:00,12/31/2023
2100000664,9006G189-0010310Z,,30-Mar-22,30-Mar-22,9-May-22,,400,400,1-Jan-24,TECO,March 2022,1/1/2024 0:00,12/31/2023
2100000618,9006G189-0010310Z,,22-Feb-22,22-Feb-22,28-Apr-22,,2100,2100,1-Jan-24,TECO,February 2022,1/1/2024 0:00,12/31/2023
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
